open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2025-08-07 23:22:00,117332.47,117332.48,117316.0,117324.85,3.56482,2025-08-07 23:22:59.999,418243.9899717,1023,0.98707,115805.0245355,0
2025-08-07 23:23:00,117324.85,117348.35,117323.16,117348.35,4.01713,2025-08-07 23:23:59.999,471333.0554579,777,2.4889,292032.1040707,0
2025-08-07 23:24:00,117348.35,117348.35,117336.29,117336.29,4.28799,2025-08-07 23:24:59.999,503157.3466937,366,0.44312,51994.071378,0
2025-08-07 23:25:00,117336.3,117348.35,117336.29,117345.63,2.85186,2025-08-07 23:25:59.999,334653.35342,462,1.32243,155177.2966287,0
2025-08-07 23:26:00,117345.62,117345.62,117319.61,117319.62,3.5798,2025-08-07 23:26:59.999,420028.4809384,1071,0.21516,25243.6138535,0
2025-08-07 23:27:00,117319.61,117319.62,117319.61,117319.62,1.14723,2025-08-07 23:27:59.999,134592.5799504,183,0.37701,44230.6699362,0
2025-08-07 23:28:00,117319.62,117319.62,117319.61,117319.62,0.59877,2025-08-07 23:28:59.999,70247.463871,153,0.09913,11629.8939306,0
2025-08-07 23:29:00,117319.62,117319.62,117319.61,117319.62,0.7662,2025-08-07 23:29:59.999,89890.2863554,148,0.11734,13766.2842108,0
2025-08-07 23:30:00,117319.61,117319.62,117319.61,117319.62,0.4111,2025-08-07 23:30:59.999,48230.0931764,216,0.15054,17661.2955948,0
2025-08-07 23:31:00,117319.62,117320.0,117319.61,117319.99,3.93705,2025-08-07 23:31:59.999,461893.2544934,268,3.73357,438021.032066,0
2025-08-07 23:32:00,117320.0,117326.87,117302.08,117326.32,4.42986,2025-08-07 23:32:59.999,519677.9154073,905,2.49372,292557.4750463,0
2025-08-07 23:33:00,117326.32,117340.1,117326.31,117340.09,1.2925,2025-08-07 23:33:59.999,151650.7500637,292,0.80801,94803.569012,0
2025-08-07 23:34:00,117340.1,117340.1,117332.99,117333.0,3.26118,2025-08-07 23:34:59.999,382658.2736963,458,0.80774,94774.758492,0
2025-08-07 23:35:00,117332.99,117333.01,117312.91,117312.91,13.43916,2025-08-07 23:35:59.999,1576681.9419627,684,6.27899,736619.6412106,0
2025-08-07 23:36:00,117312.92,117312.92,117300.0,117300.01,2.77026,2025-08-07 23:36:59.999,324978.0765473,520,0.87087,102158.4936844,0
2025-08-07 23:37:00,117300.0,117300.01,117292.88,117292.88,3.10459,2025-08-07 23:37:59.999,364156.3143251,627,0.68767,80660.0281575,0
2025-08-07 23:38:00,117292.89,117310.0,117292.88,117309.99,6.56014,2025-08-07 23:38:59.999,769553.2329531,548,1.75124,205424.5003177,0
